"","agency_code","proj_code","s_id","o_id","h_no","samp_no","spec_id","o_latitude_GDA94","o_longitude_GDA94","o_date_desc","h_upper_depth","h_lower_depth","morphology","morphology_attribute","morphology_attribute_value"
"1","199","CAN","C120","1","3","N/A","N/A",-35.4151496887,144.7679443359,"25041955","0.15","0.28","COARSE_FRAGS","cf_shape","U"
"2","199","CAN","C120","1","4","N/A","N/A",-35.4151496887,144.7679443359,"25041955","0.28","0.46","COARSE_FRAGS","cf_shape","U"
"3","199","CAN","C120","1","5","N/A","N/A",-35.4151496887,144.7679443359,"25041955","0.46","0.69","COARSE_FRAGS","cf_shape","U"
"4","199","CAN","C120","1","8","N/A","N/A",-35.4151496887,144.7679443359,"25041955","1.4","1.52","COARSE_FRAGS","cf_shape","U"
"5","199","CAN","C120","1","9","N/A","N/A",-35.4151496887,144.7679443359,"25041955","1.68","1.83","COARSE_FRAGS","cf_shape","U"
"6","199","CAN","C222","1","1","N/A","N/A",-30.5150718689,151.7011108398,"01011954","0","0.18","COARSE_FRAGS","cf_shape","R"
"7","199","CAN","C222","1","2","N/A","N/A",-30.5150718689,151.7011108398,"01011954","0.18","0.53","COARSE_FRAGS","cf_shape","A"
"8","199","CAN","C230","1","3","N/A","N/A",-30.4150714874,151.8344421387,"01011954","0.17","0.38","COARSE_FRAGS","cf_shape","S"
"9","199","CAN","C230","1","4","N/A","N/A",-30.4150714874,151.8344421387,"01011954","0.38","0.99","COARSE_FRAGS","cf_shape","S"
"10","199","CAN","C407","1","4","N/A","N/A",-34.2573547363,145.9956970215,"09111959","0.3","0.46","COARSE_FRAGS","cf_shape","R"
"11","199","CAN","C407","1","5","N/A","N/A",-34.2573547363,145.9956970215,"09111959","0.46","0.53","COARSE_FRAGS","cf_shape","R"
"12","199","CAN","C407","1","6","N/A","N/A",-34.2573547363,145.9956970215,"09111959","0.53","0.61","COARSE_FRAGS","cf_shape","R"
"13","199","CAN","C407","1","7","N/A","N/A",-34.2573547363,145.9956970215,"09111959","0.61","0.69","COARSE_FRAGS","cf_shape","R"
"14","199","CAN","C410","1","1","N/A","N/A",-34.7984695435,146.0679168701,"08101959","0","0.05","COARSE_FRAGS","cf_shape","R"
"15","199","CAN","C410","1","2","N/A","N/A",-34.7984695435,146.0679168701,"08101959","0.05","0.15","COARSE_FRAGS","cf_shape","R"
"16","199","CAN","C410","1","3","N/A","N/A",-34.7984695435,146.0679168701,"08101959","0.15","0.3","COARSE_FRAGS","cf_shape","R"
"17","199","CAN","C410","1","4","N/A","N/A",-34.7984695435,146.0679168701,"08101959","0.3","0.46","COARSE_FRAGS","cf_shape","R"
