"","agency_code","proj_code","s_id","o_id","h_no","samp_no","spec_id","o_latitude_GDA94","o_longitude_GDA94","o_date_desc","h_upper_depth","h_lower_depth","morphology","morphology_attribute","morphology_attribute_value"
"1","199","CAN","C401","1","1","N/A","N/A",-29.0484428406,147.3011627197,"18101955","0","0.03","CRACKS","crack_width","3"
"2","199","CAN","C401","1","2","N/A","N/A",-29.0484428406,147.3011627197,"18101955","0.03","0.18","CRACKS","crack_width","3"
"3","199","CAN","C401","1","3","N/A","N/A",-29.0484428406,147.3011627197,"18101955","0.18","0.51","CRACKS","crack_width","3"
"4","199","CAN","C401","1","4","N/A","N/A",-29.0484428406,147.3011627197,"18101955","0.51","0.81","CRACKS","crack_width","3"
"5","199","CAN","C401","1","5","N/A","N/A",-29.0484428406,147.3011627197,"18101955","0.81","1.14","CRACKS","crack_width","3"
"6","199","CAN","C401","1","6","N/A","N/A",-29.0484428406,147.3011627197,"18101955","1.14","1.22","CRACKS","crack_width","3"
"7","199","CAN","C509","1","1","N/A","N/A",-34.7651329041,146.0345916748,"01121961","0","0.1","CRACKS","crack_width","2"
"8","199","CAN","C509","1","2","N/A","N/A",-34.7651329041,146.0345916748,"01121961","0.1","0.38","CRACKS","crack_width","2"
"9","199","CAN","C510","1","1","N/A","N/A",-34.7651329041,146.0345916748,"01121961","0","0.1","CRACKS","crack_width","2"
"10","199","CAN","C510","1","2","N/A","N/A",-34.7651329041,146.0345916748,"01121961","0.1","0.38","CRACKS","crack_width","2"
"11","199","CAN","C513","1","1","N/A","N/A",-34.6984672546,146.0345916748,"01121961","0","0.1","CRACKS","crack_width","2"
"12","199","CAN","C513","1","2","N/A","N/A",-34.6984672546,146.0345916748,"01121961","0.1","0.3","CRACKS","crack_width","2"
"13","199","CAN","C514","1","1","N/A","N/A",-34.6984672546,146.0345916748,"01121961","0","0.1","CRACKS","crack_width","2"
"14","199","CAN","C514","1","2","N/A","N/A",-34.6984672546,146.0345916748,"01121961","0.1","0.3","CRACKS","crack_width","2"
"15","199","CAN","C515","1","1","N/A","N/A",-34.6984672546,146.0345916748,"01121961","0","0.13","CRACKS","crack_width","2"
"16","199","CAN","C515","1","2","N/A","N/A",-34.6984672546,146.0345916748,"01121961","0.13","0.3","CRACKS","crack_width","2"
"17","199","CAN","C516","1","1","N/A","N/A",-34.6984672546,146.0345916748,"01121961","0","0.1","CRACKS","crack_width","2"
"18","199","CAN","C516","1","2","N/A","N/A",-34.6984672546,146.0345916748,"01121961","0.1","0.3","CRACKS","crack_width","2"
"19","199","CAN","C518","1","1","N/A","N/A",-34.6984672546,146.0345916748,"01121961","0","0.1","CRACKS","crack_width","4"
"20","199","CAN","C518","1","2","N/A","N/A",-34.6984672546,146.0345916748,"01121961","0.1","0.91","CRACKS","crack_width","4"
"21","199","CAN","C518","1","3","N/A","N/A",-34.6984672546,146.0345916748,"01121961","0.91","1.27","CRACKS","crack_width","2"
"22","199","CAN","C520","1","1","N/A","N/A",-34.6984672546,146.0345916748,"01121961","0","0.1","CRACKS","crack_width","4"
"23","199","CAN","C520","1","2","N/A","N/A",-34.6984672546,146.0345916748,"01121961","0.1","0.91","CRACKS","crack_width","4"
"24","199","CAN","C520","1","3","N/A","N/A",-34.6984672546,146.0345916748,"01121961","0.91","1.27","CRACKS","crack_width","2"
"25","199","CAN","C521","1","2","N/A","N/A",-34.7126350403,146.0765228271,"01121961","0.15","0.2","CRACKS","crack_width","3"
