"","Morphology_Class","Morphology_Class_Attribute","Attribute_Data_Type"
"1","ARCHIVE_SAMPLES",">2mm","bit"
"2","ARCHIVE_SAMPLES","location","nvarchar"
"3","ARCHIVE_SAMPLES","samp_type","nvarchar"
"4","ARCHIVE_SAMPLES","spec_id","int"
"5","ARCHIVE_SAMPLES","subsample_date","nvarchar"
"6","ARCHIVE_SAMPLES","subsample_tray","nvarchar"
"7","ARCHIVE_SAMPLES","weight","real"
"8","COARSE_FRAGS","cf_abun","nvarchar"
"9","COARSE_FRAGS","cf_distribution","nvarchar"
"10","COARSE_FRAGS","cf_lith","nvarchar"
"11","COARSE_FRAGS","cf_shape","nvarchar"
"12","COARSE_FRAGS","cf_size","nvarchar"
"13","COARSE_FRAGS","cf_strength","nvarchar"
"14","COLOURS","col_chroma","real"
"15","COLOURS","col_hue","nvarchar"
"16","COLOURS","col_hue_val_chrom","nvarchar"
"17","COLOURS","col_moisture_stat","nvarchar"
"18","COLOURS","col_value","real"
"19","CRACKS","crack_width","nvarchar"
"20","CUTANS","cutan_abun","nvarchar"
"21","CUTANS","cutan_distinct","nvarchar"
"22","CUTANS","cutan_type","nvarchar"
"23","DISTURBANCES","dist_type","nvarchar"
"24","FABRICS","fab_abun","nvarchar"
"25","FABRICS","fab_type","nvarchar"
"26","HORIZONS","h_bound_distinct","nvarchar"
"27","HORIZONS","h_bound_shape","nvarchar"
"28","HORIZONS","h_carbonate_eff","nvarchar"
"29","HORIZONS","h_desig_master","nvarchar"
"30","HORIZONS","h_desig_num_pref","smallint"
"31","HORIZONS","h_desig_subdiv","smallint"
"32","HORIZONS","h_desig_suffix","nvarchar"
"33","HORIZONS","h_dispersion","nvarchar"
"34","HORIZONS","h_drainage","nvarchar"
"35","HORIZONS","h_ec","nvarchar"
"36","HORIZONS","h_lower_depth","real"
"37","HORIZONS","h_notes","nvarchar"
"38","HORIZONS","h_permeability","nvarchar"
"39","HORIZONS","h_plasticity_deg","nvarchar"
"40","HORIZONS","h_plasticity_type","nvarchar"
"41","HORIZONS","h_salinity_depth","nvarchar"
"42","HORIZONS","h_soil_water_stat","nvarchar"
"43","HORIZONS","h_stickiness","nvarchar"
"44","HORIZONS","h_texture","nvarchar"
"45","HORIZONS","h_texture_qual","nvarchar"
"46","HORIZONS","h_upper_depth","real"
"47","HORIZONS","h_water_repellence","nvarchar"
"48","MICRORELIEFS","mr_biotic_agent","nvarchar"
"49","MICRORELIEFS","mr_biotic_comp","nvarchar"
"50","MICRORELIEFS","mr_horiz_int","real"
"51","MICRORELIEFS","mr_prop_gilgai","nvarchar"
"52","MICRORELIEFS","mr_type","nvarchar"
"53","MICRORELIEFS","mr_vertical_int","real"
"54","MOTTLES","mott_abun","nvarchar"
"55","MOTTLES","mott_boun_distinct","nvarchar"
"56","MOTTLES","mott_chroma","real"
"57","MOTTLES","mott_colour","nvarchar"
"58","MOTTLES","mott_contrast","nvarchar"
