"","agency_code","proj_code","s_id","o_id","h_no","samp_no","spec_id","o_latitude_GDA94","o_longitude_GDA94","o_date_desc","h_upper_depth","h_lower_depth","morphology","morphology_attribute","morphology_attribute_value"
"1","180","BASE","10601","1","N/A","N/A","N/A",-10.495855,105.566286,"09042013","N/A","N/A","OBSERVATIONS","o_elevation","186"
"2","180","BASE","10603","1","N/A","N/A","N/A",-10.492911,105.569857,"09042013","N/A","N/A","OBSERVATIONS","o_elevation","198"
"3","180","BASE","10605","1","N/A","N/A","N/A",-10.489,105.57078,"09042013","N/A","N/A","OBSERVATIONS","o_elevation","196"
"4","180","BASE","10607","1","N/A","N/A","N/A",-10.488053,105.66671,"14032013","N/A","N/A","OBSERVATIONS","o_elevation","221"
"5","180","BASE","10609","1","N/A","N/A","N/A",-10.483507,105.644313,"14032013","N/A","N/A","OBSERVATIONS","o_elevation","235"
"6","180","BASE","10611","1","N/A","N/A","N/A",-10.477036,105.645465,"13032013","N/A","N/A","OBSERVATIONS","o_elevation","267"
"7","180","BASE","10614","1","N/A","N/A","N/A",-10.455567,105.701377,"11032013","N/A","N/A","OBSERVATIONS","o_elevation","151"
"8","180","BASE","10617","1","N/A","N/A","N/A",-10.44881,105.702425,"12032013","N/A","N/A","OBSERVATIONS","o_elevation","176"
"9","180","BASE","10621","1","N/A","N/A","N/A",-10.478751,105.55715,"10042013","N/A","N/A","OBSERVATIONS","o_elevation","43"
"10","180","BASE","10623","1","N/A","N/A","N/A",-10.48251,105.55591,"10042013","N/A","N/A","OBSERVATIONS","o_elevation","47"
"11","180","BASE","10714","1","N/A","N/A","N/A",-34.0597,140.6958,"29032013","N/A","N/A","OBSERVATIONS","o_elevation","21"
"12","180","BASE","10716","1","N/A","N/A","N/A",-34.05624,140.7354,"29032013","N/A","N/A","OBSERVATIONS","o_elevation","16"
"13","180","BASE","10718","1","N/A","N/A","N/A",-34.03715,140.7064,"29032013","N/A","N/A","OBSERVATIONS","o_elevation","19"
"14","180","BASE","10720","1","N/A","N/A","N/A",-33.9556,140.719,"29032013","N/A","N/A","OBSERVATIONS","o_elevation","62"
"15","180","BASE","12424","1","N/A","N/A","N/A",-42.1074,148.3395,"16072013","N/A","N/A","OBSERVATIONS","o_elevation","22"
"16","180","BASE","12426","1","N/A","N/A","N/A",-42.106246,148.340808,"16072013","N/A","N/A","OBSERVATIONS","o_elevation","60"
"17","180","BASE","12428","1","N/A","N/A","N/A",-42.105769,148.336683,"16072013","N/A","N/A","OBSERVATIONS","o_elevation","45"
"18","180","BASE","12430","1","N/A","N/A","N/A",-42.1685,148.2641,"16072013","N/A","N/A","OBSERVATIONS","o_elevation","51"
"19","180","BASE","12432","1","N/A","N/A","N/A",-42.1738,148.2791,"16072013","N/A","N/A","OBSERVATIONS","o_elevation","20"
"20","180","BASE","12434","1","N/A","N/A","N/A",-42.173,148.2851,"16072013","N/A","N/A","OBSERVATIONS","o_elevation","7"
"21","180","BASE","12436","1","N/A","N/A","N/A",-42.0585,148.3002,"17072013","N/A","N/A","OBSERVATIONS","o_elevation","4"
"22","180","BASE","12438","1","N/A","N/A","N/A",-42.0578,148.3021,"17072013","N/A","N/A","OBSERVATIONS","o_elevation","17"
"23","180","BASE","12440","1","N/A","N/A","N/A",-42.0233,148.2828,"17072013","N/A","N/A","OBSERVATIONS","o_elevation","2"
"24","180","BASE","12442","1","N/A","N/A","N/A",-42.0228,148.2833,"17072013","N/A","N/A","OBSERVATIONS","o_elevation","2"
"25","180","BASE","12444","1","N/A","N/A","N/A",-42.6831,146.6099,"18072013","N/A","N/A","OBSERVATIONS","o_elevation","1068"
"26","180","BASE","12446","1","N/A","N/A","N/A",-42.6735,146.625,"18072013","N/A","N/A","OBSERVATIONS","o_elevation","1035"
"27","180","BASE","12447","1","N/A","N/A","N/A",-42.6793,146.6711,"18072013","N/A","N/A","OBSERVATIONS","o_elevation","692"
"28","180","BASE","12450","1","N/A","N/A","N/A",-30.201162,149.597435,"01052014","N/A","N/A","OBSERVATIONS","o_elevation","201"
"29","180","BASE","12459","1","N/A","N/A","N/A",-35.423567,148.798917,"14082013","N/A","N/A","OBSERVATIONS","o_elevation","1281"
"30","180","BASE","12461","1","N/A","N/A","N/A",-35.423733,148.797583,"14082013","N/A","N/A","OBSERVATIONS","o_elevation","1266"
"31","180","BASE","12463","1","N/A","N/A","N/A",-35.423883,148.797883,"14082013","N/A","N/A","OBSERVATIONS","o_elevation","1263"
"32","180","BASE","12465","1","N/A","N/A","N/A",-35.4214,148.79855,"14082013","N/A","N/A","OBSERVATIONS","o_elevation","1262"
"33","180","BASE","12467","1","N/A","N/A","N/A",-35.42375,148.79595,"14082013","N/A","N/A","OBSERVATIONS","o_elevation","1294"
"34","180","BASE","12469","1","N/A","N/A","N/A",-35.4235,148.7968,"14082013","N/A","N/A","OBSERVATIONS","o_elevation","1278"
"35","180","BASE","12471","1","N/A","N/A","N/A",-35.423867,148.797167,"14082013","N/A","N/A","OBSERVATIONS","o_elevation","1267"
"36","180","BASE","12473","1","N/A","N/A","N/A",-35.42325,148.796767,"14082013","N/A","N/A","OBSERVATIONS","o_elevation","1300"
"37","180","BASE","12475","1","N/A","N/A","N/A",-35.42385,148.796583,"14082013","N/A","N/A","OBSERVATIONS","o_elevation","1292"
"38","180","BASE","12477","1","N/A","N/A","N/A",-35.422617,148.7961,"14082013","N/A","N/A","OBSERVATIONS","o_elevation","1285"
"39","180","BASE","12479","1","N/A","N/A","N/A",-35.423183,148.796383,"14082013","N/A","N/A","OBSERVATIONS","o_elevation","1287"
"40","180","BASE","12481","1","N/A","N/A","N/A",-32.526047,142.219292,"10032014","N/A","N/A","OBSERVATIONS","o_elevation","61"
"41","180","BASE","12483","1","N/A","N/A","N/A",-29.055658,141.898047,"11032014","N/A","N/A","OBSERVATIONS","o_elevation","171"
"42","180","BASE","12485","1","N/A","N/A","N/A",-29.035917,141.352819,"11032014","N/A","N/A","OBSERVATIONS","o_elevation","142"
"43","180","BASE","12487","1","N/A","N/A","N/A",-29.945633,144.111706,"12032014","N/A","N/A","OBSERVATIONS","o_elevation","107"
"44","180","BASE","12489","1","N/A","N/A","N/A",-30.395,142.717778,"13032014","N/A","N/A","OBSERVATIONS","o_elevation","136"
"45","180","BASE","12491","1","N/A","N/A","N/A",-35.881,149.0076,"12052014","N/A","N/A","OBSERVATIONS","o_elevation","1093"
"46","180","BASE","12493","1","N/A","N/A","N/A",-35.8811,149.0083,"12052014","N/A","N/A","OBSERVATIONS","o_elevation","1111"
"47","180","BASE","12495","1","N/A","N/A","N/A",-35.876683,149.0097,"12052014","N/A","N/A","OBSERVATIONS","o_elevation","1092"
"48","180","BASE","12497","1","N/A","N/A","N/A",-35.876933,149.01025,"13052014","N/A","N/A","OBSERVATIONS","o_elevation","1105"
"49","180","BASE","12499","1","N/A","N/A","N/A",-35.874867,149.01088,"13052014","N/A","N/A","OBSERVATIONS","o_elevation","1088"
"50","180","BASE","12501","1","N/A","N/A","N/A",-30.200495,149.596946,"29042014","N/A","N/A","OBSERVATIONS","o_elevation","203"
"51","180","BASE","12503","1","N/A","N/A","N/A",-30.200913,149.59689,"29042014","N/A","N/A","OBSERVATIONS","o_elevation","202"
"52","180","BASE","12505","1","N/A","N/A","N/A",-30.20177,149.596752,"29042014","N/A","N/A","OBSERVATIONS","o_elevation","201"
"53","180","BASE","12507","1","N/A","N/A","N/A",-30.201348,149.596892,"29042014","N/A","N/A","OBSERVATIONS","o_elevation","200"
