"","agency_code","proj_code","s_id","o_id","h_no","samp_no","spec_id","o_latitude_GDA94","o_longitude_GDA94","o_date_desc","h_upper_depth","h_lower_depth","morphology","morphology_attribute","morphology_attribute_value"
"1","199","CAN","C1","1","N/A","N/A","N/A",-34.5651321411,146.3345794678,"07101953","N/A","N/A","SITES","s_patt_type","ALP"
"2","199","CAN","C113","1","N/A","N/A","N/A",-35.4984855652,144.6679534912,"19041955","N/A","N/A","SITES","s_patt_type","LOW"
"3","199","CAN","C114","1","N/A","N/A","N/A",-35.4984855652,144.6679534912,"20041955","N/A","N/A","SITES","s_patt_type","FLO"
"4","199","CAN","C115","1","N/A","N/A","N/A",-35.4984855652,144.6846160889,"27041955","N/A","N/A","SITES","s_patt_type","FLO"
"5","199","CAN","C116","1","N/A","N/A","N/A",-35.4151496887,144.7679443359,"23041955","N/A","N/A","SITES","s_patt_type","LOW"
"6","199","CAN","C117","1","N/A","N/A","N/A",-35.4151496887,144.9073944092,"23041955","N/A","N/A","SITES","s_patt_type","LOW"
"7","199","CAN","C118","1","N/A","N/A","N/A",-35.4151000977,149.767868042,"25011955","N/A","N/A","SITES","s_patt_type","FLO"
"8","199","CAN","C119","1","N/A","N/A","N/A",-35.4151496887,144.7679443359,"25041955","N/A","N/A","SITES","s_patt_type","FLO"
"9","199","CAN","C120","1","N/A","N/A","N/A",-35.4151496887,144.7679443359,"25041955","N/A","N/A","SITES","s_patt_type","FLO"
"10","199","CAN","C121","1","N/A","N/A","N/A",-35.4151496887,144.7679443359,"01041955","N/A","N/A","SITES","s_patt_type","FLO"
"11","199","CAN","C122","1","N/A","N/A","N/A",-35.4151496887,144.7679443359,"01041955","N/A","N/A","SITES","s_patt_type","ALP"
"12","199","CAN","C123","1","N/A","N/A","N/A",-35.4151496887,144.7679443359,"01041955","N/A","N/A","SITES","s_patt_type","ALP"
"13","199","CAN","C126","1","N/A","N/A","N/A",-35.4151496887,144.7679443359,"19111955","N/A","N/A","SITES","s_patt_type","ALP"
"14","199","CAN","C136","1","N/A","N/A","N/A",-35.2151641846,143.6012878418,"01111956","N/A","N/A","SITES","s_patt_type","PLA"
"15","199","CAN","C137","1","N/A","N/A","N/A",-35.2151641846,143.6012878418,"01111956","N/A","N/A","SITES","s_patt_type","PLA"
"16","199","CAN","C138","1","N/A","N/A","N/A",-35.0984992981,143.3846282959,"05121956","N/A","N/A","SITES","s_patt_type","PLA"
"17","199","CAN","C139","1","N/A","N/A","N/A",-35.1068305969,143.4263000488,"07121956","N/A","N/A","SITES","s_patt_type","DUN"
